location,hits,keyword,geo,gprop,year,month
NA,NA,NA,NA,NA,NA,NA
Alabama,27,Bitcoin,US,web,2016,1
Alabama,50,Bitcoin,US,web,2016,2
Alabama,56,Bitcoin,US,web,2016,3
Alabama,45,Bitcoin,US,web,2016,4
Alabama,41,Bitcoin,US,web,2016,5
Alabama,41,Bitcoin,US,web,2016,6
Alabama,43,Bitcoin,US,web,2016,7
Alabama,57,Bitcoin,US,web,2016,8
Alabama,45,Bitcoin,US,web,2016,9
Alabama,59,Bitcoin,US,web,2016,10
Alabama,38,Bitcoin,US,web,2016,11
Alabama,40,Bitcoin,US,web,2016,12
Alabama,38,Bitcoin,US,web,2017,1
Alabama,53,Bitcoin,US,web,2017,2
Alabama,50,Bitcoin,US,web,2017,3
Alabama,43,Bitcoin,US,web,2017,4
Alabama,35,Bitcoin,US,web,2017,5
Alabama,38,Bitcoin,US,web,2017,6
Alabama,39,Bitcoin,US,web,2017,7
Alabama,38,Bitcoin,US,web,2017,8
Alabama,30,Bitcoin,US,web,2017,9
Alabama,39,Bitcoin,US,web,2017,10
Alabama,36,Bitcoin,US,web,2017,11
Alabama,34,Bitcoin,US,web,2017,12
Alabama,35,Bitcoin,US,web,2018,1
Alabama,30,Bitcoin,US,web,2018,2
Alabama,34,Bitcoin,US,web,2018,3
Alabama,37,Bitcoin,US,web,2018,4
Alabama,35,Bitcoin,US,web,2018,5
Alabama,34,Bitcoin,US,web,2018,6
Alabama,36,Bitcoin,US,web,2018,7
Alabama,35,Bitcoin,US,web,2018,8
Alabama,41,Bitcoin,US,web,2018,9
Alabama,46,Bitcoin,US,web,2018,10
Alabama,34,Bitcoin,US,web,2018,11
Alabama,35,Bitcoin,US,web,2018,12
Alabama,43,Bitcoin,US,web,2019,1
Alabama,42,Bitcoin,US,web,2019,2
Alabama,43,Bitcoin,US,web,2019,3
Alabama,35,Bitcoin,US,web,2019,4
Alabama,41,Bitcoin,US,web,2019,5
Alabama,40,Bitcoin,US,web,2019,6
Alabama,36,Bitcoin,US,web,2019,7
Alabama,41,Bitcoin,US,web,2019,8
Alabama,42,Bitcoin,US,web,2019,9
Alabama,54,Bitcoin,US,web,2019,10
Alabama,44,Bitcoin,US,web,2019,11
Alabama,43,Bitcoin,US,web,2019,12
Alabama,45,Bitcoin,US,web,2020,1
Alabama,49,Bitcoin,US,web,2020,2
Alabama,41,Bitcoin,US,web,2020,3
Alabama,45,Bitcoin,US,web,2020,4
Alabama,44,Bitcoin,US,web,2020,5
Alabama,49,Bitcoin,US,web,2020,6
Alabama,53,Bitcoin,US,web,2020,7
Alabama,49,Bitcoin,US,web,2020,8
Alabama,59,Bitcoin,US,web,2020,9
Alabama,51,Bitcoin,US,web,2020,10
Alabama,47,Bitcoin,US,web,2020,11
Alabama,42,Bitcoin,US,web,2020,12
Alabama,37,Bitcoin,US,web,2021,1
Alabama,38,Bitcoin,US,web,2021,2
Alabama,37,Bitcoin,US,web,2021,3
Alabama,42,Bitcoin,US,web,2021,4
Alabama,40,Bitcoin,US,web,2021,5
Alabama,42,Bitcoin,US,web,2021,6
Alabama,45,Bitcoin,US,web,2021,7
Alabama,45,Bitcoin,US,web,2021,8
Alabama,40,Bitcoin,US,web,2021,9
Alabama,47,Bitcoin,US,web,2021,10
Alabama,45,Bitcoin,US,web,2021,11
Alabama,45,Bitcoin,US,web,2021,12
Alaska,61,Bitcoin,US,web,2016,1
Alaska,98,Bitcoin,US,web,2016,2
Alaska,74,Bitcoin,US,web,2016,3
Alaska,100,Bitcoin,US,web,2016,4
Alaska,87,Bitcoin,US,web,2016,5
Alaska,92,Bitcoin,US,web,2016,6
Alaska,70,Bitcoin,US,web,2016,7
Alaska,80,Bitcoin,US,web,2016,8
Alaska,80,Bitcoin,US,web,2016,9
Alaska,75,Bitcoin,US,web,2016,10
Alaska,45,Bitcoin,US,web,2016,11
Alaska,87,Bitcoin,US,web,2016,12
Alaska,47,Bitcoin,US,web,2017,1
Alaska,76,Bitcoin,US,web,2017,2
Alaska,74,Bitcoin,US,web,2017,3
Alaska,66,Bitcoin,US,web,2017,4
Alaska,70,Bitcoin,US,web,2017,5
Alaska,52,Bitcoin,US,web,2017,6
Alaska,48,Bitcoin,US,web,2017,7
Alaska,54,Bitcoin,US,web,2017,8
Alaska,47,Bitcoin,US,web,2017,9
Alaska,55,Bitcoin,US,web,2017,10
Alaska,56,Bitcoin,US,web,2017,11
Alaska,59,Bitcoin,US,web,2017,12
Alaska,59,Bitcoin,US,web,2018,1
